id_base,id_quote
USDT,EUR
BTC,EUR
ETH,EUR
XTZ,EUR
LTC,EUR
BCH,EUR
EOS,EUR
XLM,EUR
ETC,EUR
OMG,EUR
LINK,EUR
BAT,EUR
USDC,EUR
ALGO,EUR
1INCH,EUR
MANA,EUR
MIR,EUR
BAND,EUR
NMR,EUR
CGLD,EUR
UMA,EUR
FORTH,EUR
NU,EUR
FIL,EUR
AAVE,EUR
GRT,EUR
BNT,EUR
SNX,EUR
SUSHI,EUR
MATIC,EUR
SKL,EUR
ADA,EUR
ANKR,EUR
CRV,EUR
ICP,EUR
USDT,GBP
BTC,GBP
ETH,GBP
XTZ,GBP
BCH,GBP
ETC,GBP
OMG,GBP
LINK,GBP
USDC,GBP
ALGO,GBP
1INCH,GBP
MIR,GBP
BAND,GBP
NMR,GBP
CGLD,GBP
UMS,GBP
FORTH,GBP
NU,GBP
FIL,GBP
AAVE,GBP
GRT,GBP
BNT,GBP
SNX,GBP
SUSHI,GBP
MATIC,GBP
SKL,GBP
ADA,GBP
ANKR,GBP
CRV,GBP
ICP,GBP
USDT,USD
BTC,USD
ETH,USD
XTZ,USD
LTC,USD
BCH,USD
EOS,USD
DASH,USD
OXT,USD
ENJ,USD
XLM,USD
ATOM,USD
ETC,USD
OMG,USD
ZEC,USD
LINK,USD
BAT,USD
REP,USD
ZRX,USD
ALGO,USD
DAI,USD
1INCH,USD
KNC,USD
COMP,USD
MIR,USD
BAND,USD
OGN,USD
NMR,USD
CGLD,USD
UMA,USD
FORTH,USD
LRC,USD
YFI,USD
UNI,USD
REN,USD
BAL,USD
WBTC,USD
NU,USD
FIL,USD
CTSI,USD
AAVE,USD
BLC,USD
GRT,USD
BNT,USD
NKN,USD
SNX,USD
SUSHI,USD
MATIC,USD
SKL,USD
TRB,USD
ADA,USD
ANKR,USD
CRV,USD
ICP,USD
USDT,USDC
BTC,USDC
ETH,USDC
ZEC,USDC
BAT,USDC
DAI,USDC
GNT,USDC
MANA,USDC
LOOM,USDC
CVC,USDC
DNT,USDC
ADA,USDC
BTC,USDT
ETH,USDT
ICP,USDT
ETH,BTC
XTZ,BTC
LTC,BTC
BCH,BTC
EOS,BTC
DASH,BTC
MKR,BTC
ENJ,BTC
XLM,BTC
ATOM,BTC
ETC,BTC
OMG,BTC
ZEC,BTC
LINK,BTC
BAT,BTC
REP,BTC
ZRX,BTC
ALGO,BTC
1INCH,BTC
MANA,BTC
KNC,BTC
COMP,BTC
MIR,BTC
BAND,BTC
OGN,BTC
NMR,BTC
CGLD,BTC
UMA,BTC
FORTH,BTC
LRC,BTC
YFI,BTC
UNI,BTC
REN,BTC
WBTC,BTC
BAL,BTC
NU,BTC
FIL,BTC
CTSI,BTC
AAVE,BTC
RLC,BTC
GRT,BTC
BNT,BTC
NKN,BTC
SNX,BTC
SUSHI,BTC
MATIC,BTC
SKL,BTC
TRB,BTC
ADA,BTC
ANKR,BTC
CRV,BTC
STORJ,BTC
ICP,BTC
ETH,DAI
LINK,ETH
BAT,ETH
MANA,ETH
SUSHI,ETH
ADA,ETH
